University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,Physical Sciences Collegiate Division,Astronomy and Astrophysics,4.60%,"Quantitative study of stars, galaxies, cosmology, and high-energy astrophysical phenomena."
,,,Biological Chemistry,4.20%,"Major at the chemistry-biology interface focused on the molecular basis of life — proteins, nucleic acids, and metabolism."
,,,Chemistry,4.40%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry, with significant lab work."
,,,Climate and Sustainable Growth,4.70%,"Interdisciplinary major examining the science, economics, and policy of climate change and sustainable development."
,,,Computational and Applied Mathematics,4.00%,"Mathematics applied to scientific and engineering problems, with strong training in modeling, numerical methods, and computation."
,,,Computer Science,3.60%,"Foundations and applications of computing — algorithms, systems, theory, AI, and software."
,,,Data Science,3.70%,"Major combining statistics, computer science, and domain applications focused on data analysis, machine learning, and inference."
,,,Environmental Science,4.80%,Interdisciplinary major combining the natural sciences with policy and human dimensions of environmental challenges.
,,,Geophysical Sciences,5.00%,"Study of the Earth's physical and chemical processes, climate system, and history."
,,,Mathematics,4.30%,"Pure mathematics including analysis, algebra, geometry, topology, and number theory; honors and applied tracks available."
,,,Physics,4.40%,"Rigorous study of classical mechanics, electromagnetism, quantum mechanics, statistical mechanics, and contemporary physics."
,,,Statistics,3.90%,"Theory and practice of statistical inference, probability, and data analysis with applications across disciplines."
,,Social Sciences Collegiate Division,Anthropology,5.40%,"Comparative study of human societies, cultures, and biological evolution."
,,,Comparative Human Development,4.90%,"Interdisciplinary major examining human development across the lifespan and across cultures, drawing on psychology, anthropology, and biology."
,,,Economics,3.70%,"Study of how individuals, firms, and societies allocate resources, with training in micro, macro, and econometrics; offered with optional Business Economics and Data Science specializations."
,,,"Environment, Geography, and Urbanization",5.00%,"Study of human-environment interactions, urbanization, and spatial dynamics."
,,,Gender and Sexuality Studies,5.70%,"Interdisciplinary study of gender, sexuality, and their intersections with race, class, and power."
,,,Geographic Information Science,4.80%,"Study and application of spatial data, mapping, and GIS technologies to social and environmental problems."
,,,Global Studies,5.10%,"Interdisciplinary study of global processes, institutions, and transnational connections."
,,,History,5.30%,"Study of the human past across periods, regions, and themes, with strong training in archival research and writing."
,,,"History, Philosophy, and Social Studies of Science and Medicine",5.50%,"Interdisciplinary major (HIPS/HIPSS) examining the history, philosophy, and social context of science and medicine."
,,,Human Rights,5.20%,"Interdisciplinary study of human rights as a normative framework, legal regime, and political practice."
,,,Latin American and Caribbean Studies,5.70%,"Interdisciplinary study of the histories, cultures, politics, and societies of Latin America and the Caribbean."
,,,"Law, Letters, and Society",4.80%,"Interdisciplinary major examining law as a social, historical, and intellectual phenomenon — a signature UChicago program."
,,,Political Science,4.50%,"Study of political institutions, behavior, theory, and international relations."
,,,Psychology,4.30%,"Scientific study of mind and behavior across cognitive, developmental, social, clinical, and biological psychology."
,,,Public Policy Studies,4.50%,"Interdisciplinary major in policy analysis combining economics, political science, statistics, and policy substance."
,,,"Race, Diaspora, and Indigeneity",5.70%,"Interdisciplinary study of race, diaspora, and Indigenous experience across global contexts."
,,,Sociology,5.20%,"Study of social structure, inequality, institutions, and change with strong empirical methods training."
,,Pritzker School of Molecular Engineering,Molecular Engineering,4.00%,"Engineering major centered on molecular-scale design for problems in energy, water, quantum technology, and biomedicine; offered through the Pritzker School of Molecular Engineering."
,,Interdisciplinary Programs (within The College),Archaeology,6.00%,"Interdisciplinary major in the study of past human societies through material remains, drawing on anthropology, classics, and the natural sciences."
