University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,,German (AB),15.50%,"Advanced German language paired with German literature, philosophy, and culture."
,,,Global and Comparative Literature (AB),14.80%,Cross-cultural literary analysis combining works across languages and traditions with critical and theoretical study.
,,,Global Medieval Studies (AB),15.70%,"Interdisciplinary study of medieval cultures across Europe, the Islamic world, and Asia through history, literature, art, and theology."
,,,Government (AB),10.80%,"Georgetown's flagship political science program covering American government, comparative politics, international relations, and political theory."
,,,History (AB),14.00%,"Investigates political, social, and cultural change across regions and eras with strong methods training."
,,,Interdisciplinary Studies (AB),13.50%,Individually designed major allowing students to combine themes and methods across CAS departments.
,,,Italian (AB),15.60%,"Advanced Italian language with literature, film, and cultural history."
,,,Japanese (AB),15.00%,"Advanced Japanese language with literature, film, and cultural history."
,,,Justice and Peace Studies (AB),14.00%,"Interdisciplinary major studying conflict, peacebuilding, human rights, and social justice — closely tied to Georgetown's Jesuit mission."
,,,Korean (AB),15.20%,"Advanced Korean language with study of Korean literature, film, and culture."
,,,Linguistics (AB),14.20%,"Studies phonology, syntax, semantics, and sociolinguistics, with strengths in computational linguistics and language acquisition."
,,,Mathematics (AB or BS),12.20%,"Rigorous training in pure and applied mathematics — analysis, algebra, topology, and probability."
,,,Neurobiology (BS),10.70%,"Studies the cellular, molecular, and systems-level basis of nervous system function with significant lab work."
,,,Philosophy (AB),14.40%,"Examines ethics, metaphysics, epistemology, logic, and political philosophy, with strengths in moral and political philosophy."
,,,Physics (AB or BS),12.40%,"Covers classical and quantum mechanics, electromagnetism, statistical mechanics, and modern experimental physics."
,,,Political Economy (AB),10.80%,Joint Economics/Government interdisciplinary major studying the intersection of economic theory and political institutions.
,,,Portuguese (AB),15.60%,"Advanced Portuguese language with literature and culture of Portugal, Brazil, and Lusophone Africa."
,,,Psychology (AB),11.80%,"Covers cognitive, behavioral, developmental, and neuroscience aspects of psychology with methods training and research opportunities."
,,,Public Policy (joint with McCourt School of Public Policy),10.80%,Jointly offered undergraduate major in public policy combining CAS social-science training with McCourt's policy analysis and quantitative methods.
,,,Russian (AB),15.60%,"Advanced Russian language with study of Russian and Eurasian literature, history, and politics."
,,,Sociology (AB),14.00%,"Studies social institutions, inequality, race, gender, and culture using qualitative and quantitative methods."
,,,Spanish (AB),14.80%,Advanced Spanish language with literature and cultures of Spain and Latin America.
,,,Spanish and Portuguese Studies (AB),15.00%,"Combined study of Spanish and Portuguese languages, literatures, and cultures across Iberia, Latin America, and Lusophone Africa."
,,,Theater and Performance Studies (AB),14.20%,"Combines theatrical history and theory with practical work in acting, directing, design, and dramaturgy."
,,,Theology and Religious Studies (AB),15.00%,"Comparative and historical study of religious traditions, texts, and ethics — distinctive in scope given Georgetown's Jesuit identity."
,,,Women's and Gender Studies (AB),14.80%,"Interdisciplinary study of gender, sexuality, race, and power across the humanities and social sciences."
,,Edmund A. Walsh School of Foreign Service (SFS),Bachelor of Science in Foreign Service — Culture and Politics (CULP),11.50%,"Interdisciplinary major exploring the relationship between culture, knowledge, and power in international affairs, with students designing focused thematic tracks."
,,,Bachelor of Science in Foreign Service — Global Business (GBUS),9.80%,"Blends business principles with politics and culture for careers in the private sector, NGOs, and international institutions."
,,,Bachelor of Science in Foreign Service — International Economics (IECO),10.00%,Quantitatively rigorous track in international economics with strong econometrics and policy application.
,,,Bachelor of Science in Foreign Service — International History (IHIS),12.00%,Studies global historical transformations with student-designed regional or thematic focus.
,,,Bachelor of Science in Foreign Service — International Political Economy (IPEC),9.80%,"Combines economic and political analysis of global issues, culminating in a senior thesis."
,,,Bachelor of Science in Foreign Service — International Politics (IPOL),10.50%,"Studies global political dynamics, security, diplomacy, and contemporary geopolitical issues."
,,,Bachelor of Science in Foreign Service — Regional and Comparative Studies (RCST),12.20%,"Combines language and area studies with comparative methods, enabling deep focus on a particular world region."
,,,"Bachelor of Science in Foreign Service — Science, Technology and International Affairs (STIA)",10.20%,"Examines the intersection of science and technology with global politics, with concentrations in energy and environment, biotech and global health, business and development, and science, technology and security."
,,,Dikran Izmirlian B.S. in Business and Global Affairs (joint with McDonough School of Business),8.50%,"Interdisciplinary degree jointly delivered by SFS and McDonough, training students to lead at the intersection of business and global policy."
,,McDonough School of Business (MSB),BSBA — Accounting,11.00%,"Trains students to measure organizational financial and non-financial activity and use that information to drive business decisions, with CPA-track preparation."
,,,BSBA — Finance,9.00%,"Covers corporate finance, investments, financial markets, and quantitative risk, building on McDonough's quantitative core."
,,,BSBA — International Political Economy and Business,9.40%,Combines business core with international political economy — distinctive to Georgetown's policy-rich DC setting.
,,,BSBA — International Business Regional Studies,9.80%,Pairs the business core with deep study of a particular world region and advanced language coursework.
,,,BSBA — Management,10.80%,"Covers leadership, organizational behavior, and strategy with experiential learning opportunities."
,,,BSBA — Marketing,10.60%,"Covers consumer behavior, marketing research, branding, pricing, and digital strategy through analytical and experiential approaches."
,,,BSBA — Operations and Analytics,9.80%,"Combines operations management, supply chain, and business analytics for data-driven operational decision-making."
,,,Dikran Izmirlian B.S. in Business and Global Affairs (joint with SFS),8.50%,Interdisciplinary degree combining McDonough's business curriculum with SFS's international affairs core.
,,,"B.S. in International Business, Language, and Culture (IBLC, joint with CAS)",9.50%,Joint MSB/CAS degree integrating international business with advanced study of a foreign language and its associated culture.
,,School of Health (SOH),Bachelor of Science in Global Health,10.50%,"Blends public health and health systems management with attention to environment, culture, economics, and politics — leveraging Georgetown's DC location for policy-focused training."
,,,Bachelor of Science in Healthcare Management & Policy,10.80%,"Studies the business, policy, and ethics of healthcare delivery, including health systems, regulation, and the political economy of medicine."
,,,Bachelor of Science in Human Science,11.20%,"Pre-health-focused degree combining biology, chemistry, biochemistry, and biomedical sciences with humanities coursework on health and ethics."
,,Georgetown School of Nursing (SON),Bachelor of Science in Nursing (BSN),12.00%,"Traditional four-year direct-entry BSN integrating arts, sciences, humanities, and clinical nursing practice. Leverages partnerships with MedStar Georgetown University Hospital for clinical training and prepares graduates for the NCLEX-RN and professional nursing practice."
,,Georgetown School of Continuing Studies (SCS),Bachelor of Arts in Liberal Studies,N/A traditional first-year; separate/nontraditional pathway,"Flexible interdisciplinary liberal-arts degree designed for working adults, non-traditional students, and transfer students, with concentrations in areas such as humanities, social sciences, and management. Coursework is offered in flexible evening, weekend, and online formats at Georgetown's Capitol Campus."
