University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
,,,Electrical and Computer Engineering (B.E.),3.50%,"Integrates electrical engineering (circuits, signals, electromagnetics, photonics) and computer engineering (digital systems, embedded systems, microelectronics)."
,,,Mechanical Engineering (B.E.),3.70%,"Mechanics, thermodynamics, fluid dynamics, materials, and design — applications across aerospace, robotics, manufacturing, energy, and biomedical systems."
,,,Computer Science (B.S.),3.20%,"ABET-accredited B.S. combining scientific and engineering principles with theoretical CS and practical programming — algorithms, systems, software engineering, AI, and data science. Also available as a B.A. through A&S."
,,,Engineering Science (B.S.),4.00%,Interdisciplinary program in the Division of Engineering Science and Management providing strong engineering and science foundations while allowing specialization in interdisciplinary interests.
,,Peabody College of Education and Human Development,Human and Organizational Development (B.S.),3.80%,"Vanderbilt's most popular undergraduate major. Interdisciplinary HOD/LPO program preparing students to address complex social problems in organizations and communities — psychology, organizational studies, sociology, political science, anthropology, and economics with required organizational capstone."
,,,Child Development (B.S.),4.90%,"Scientific study of children from infancy through adolescence — biological, cognitive, social, and emotional development within family, peer, school, and cultural contexts."
,,,Child Studies (B.S.),5.00%,"Interdisciplinary major drawing on psychology, education, special education, and HOD for working with children in clinical, educational, and community settings outside formal schooling."
,,,Cognitive Studies (B.S.),4.20%,"How people think, solve problems, learn, and reason — cognitive psychology, cognitive neuroscience, linguistics, and philosophy of mind."
,,,Language Science (B.S.),4.70%,"Interdisciplinary scientific study of language structure, language use, and acquisition — linguistics, cognitive science, and psychology with relevance to NLP, multilingualism, healthcare, and education."
,,,Elementary Education (B.S.),5.40%,"Research-grounded, practice-intensive teacher preparation for K–5 licensure with early classroom placements and a focus on children's developmental thinking and reasoning."
,,,Secondary Education (B.S.),5.20%,"Teacher licensure preparation for grades 6–12 with concentrations in English, Mathematics, Natural Sciences, or Social Studies — subject-area methods plus supervised teaching practice."
,,,Special Education (B.S.),5.50%,"Interdisciplinary, field-oriented teacher-licensure program for working with persons with disabilities. Specialty areas: High Incidence Disabilities (K–8 or 6–12); Multiple and Severe Disabilities. Ranked #1 nationally at the graduate level."
,,Blair School of Music,Performance (B.Mus.),13.00%,"Classical performance at the highest level — orchestral instruments, piano, saxophone, euphonium, and voice. Individual instruction, solo recitals, master classes, chamber music, and ensembles with theory, musicianship, and music history."
,,,Composition (B.Mus.),11.00%,"Creation and analysis of music with deep exploration of repertoire and craft in art music, plus opportunities in film scoring, jazz composition, electroacoustic, computer, and experimental music."
,,,Jazz Studies (B.Mus.),12.00%,"Performance, composition, improvisation, musicianship, analysis, music technology, and entrepreneurship — instrumental or voice areas plus guitar and drum set, with specialized ensembles."
,,,Integrated Studies (B.Mus.),14.00%,"For strong performers and/or composers interested in other facets of music — primary performance/composition area plus a secondary concentration (musicology, ethnomusicology, pedagogy, music theory, jazz, multiple winds, or collaborative arts)."
,,,Integrated Studies / Teacher Education (B.Mus.),15.00%,Combines Integrated Studies with Peabody teacher-licensure coursework for instrumental or vocal/general music. Five-year Blair-to-Peabody track adds the M.Ed. and teacher licensure.
,,,Musical Arts (B.Mus.Arts),13.50%,"Rigorous music study (≥63 hours) combined with a substantial second focus outside of music (≥18 hours) — self-designed or in fields like pre-medicine, music and the mind, art history, or computer science. Optional 3+2 Blair-to-Owen track adds an MBA from Owen Graduate School of Management."
