University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
,,,Media Studies (BA),10.80%,"History, theory, and critical analysis of media forms and institutions — print journalism to digital platforms in social, political, and cultural context. Distinct from Film and Media."
,,,Middle Eastern and South Asian Studies (BA),12.00%,"Languages (Arabic, Hebrew, Hindi, Persian, Tibetan) combined with history, the arts, and comparative culture across the Middle East and South Asia."
,,,Music (BA),11.80%,"Music across three tracks — Composition, Performance, and Research (ethnomusicology, music history, music theory) — with 60+ faculty artists."
,,,Philosophy (BA),11.80%,"History of philosophy combined with ethics, metaphysics, aesthetics, and epistemology — core liberal arts training in critical inquiry."
,,,"Philosophy and Religion (BA, Joint Major)",12.00%,"Philosophical inquiry into ethics, meaning, and human existence integrated with the academic study of religion."
,,,"Philosophy, Politics, Law (BA)",10.20%,"Justice, democracy, rights, and political legitimacy at the intersection of philosophy and politics — strong preparation for law school and public policy."
,,,"Playwriting (BA, Joint Major)",11.50%,Theater studies and creative writing combined — playwrights as writers and theater professionals working through concept to production with established artists.
,,,Religion (BA),12.50%,"Intellectual study of the world's living religions — comparative and thematic exploration of religion in public life, gender, and culture."
,,,"Religion and Anthropology (BA, Joint Major)",12.10%,Academic study of religion combined with anthropological inquiry — religious practices embedded in and shaping human social life.
,,,"Religion and Classical Civilization (BA, Joint Major)",12.30%,"How religion shaped foundational ideas in the classical world — ancient literature, art, history, and philosophy with comparative religious study."
,,,"Religion and History (BA, Joint Major)",12.10%,Religion and the human experience through historical methods — logically structured exploration of religion in historical change.
,,,"Religion and Sociology (BA, Joint Major)",12.00%,"Academic study of religion combined with sociological analysis of human social behavior, groups, and institutions."
,,,Russian and East European Studies (BA),12.60%,"Intensive Russian (or related language) acquisition combined with geography, politics, history, and film of the former USSR and Eastern Europe."
,,,Spanish (BA),12.00%,"Languages, texts, and cultures of the Spanish-speaking world — Spain, Latin America, and the United States — with critical engagement across literary, film, and media texts."
,,,"Spanish and Linguistics (BA, Joint Major)",11.60%,"Spanish language acquisition combined with theoretical linguistics — how Spanish and related languages develop, change, and signify meaning."
,,,Spanish and Portuguese (BA),12.20%,"Spanish and Portuguese combined — literature, linguistics, theater, music, and translation across the Ibero-American world."
,,,Theater Studies (BA),11.40%,"Acting, theater history, criticism, design, and technical theater — Atlanta's arts scene providing internship and career opportunities."
,,,"Women's, Gender, and Sexuality Studies (BA)",12.10%,"Gender and sexuality through an intersectional lens that considers socioeconomic status, race, and national identity — critical thinking, research, and creative expression."
,,,Global Portuguese Studies (BA),12.70%,"The Lusophone world — Portugal, Brazil, Angola, Mozambique, Cape Verde — through language, literature, culture, and history with strong study abroad encouragement."
,,Emory College of Arts and Sciences — Social Sciences,Anthropology (BA),11.40%,"Holistic study of human beings as biological and cultural organisms across the four subdisciplines: biological anthropology, archaeology, linguistics, and cultural anthropology."
,,,Anthropology and Human Biology (BS),9.80%,Interaction between biology and culture with particular relevance for pre-med students — anthropological perspectives on health and human biology.
,,,Economics (BA),9.00%,"Production, distribution, and consumption of goods and services — strong theoretical and empirical training in microeconomics and macroeconomics."
,,,"Economics and Computer Science (BA, Joint Major)",7.80%,"Economic reasoning, empirical methods, and data analytics combined with machine learning and AI — economic phenomena in the digital age."
,,,"Economics and Human Health (BA, Joint Major)",8.80%,"Economics paired with pre-health preparation for students interested in health economics, health policy, medicine, veterinary science, and related fields."
,,,"Economics and Mathematics (BA, Joint Major)",8.20%,Mathematics-intensive economics preparation for doctoral economics programs or quantitatively oriented MBA programs.
,,,Human Health (BA),9.00%,"Scientific, social, historical, and cultural dimensions of health and well-being — preparation for professional/graduate schools and careers in health policy, global health, and health research."
,,,International Studies (BA),9.40%,International relations and comparative politics — social-science foundation with a political science core and global scope.
,,,Political Science (BA),9.50%,"Systematic study of government, politics, and political behavior at local, national, and international levels. Internships and study abroad encouraged."
,,,Psychology (BA/BS),9.20%,"Human behavior and mental processes — experimental, psychobiological, social/personality/clinical, and cognitive/developmental psychology with extensive research opportunities."
,,,"Psychology and Linguistics (BA, Joint Major)",9.80%,How people acquire and use language — cognitive psychology combined with formal linguistics for graduate study in cognitive science or communication.
,,,Sociology (BA),11.00%,"Human social behavior, groups, and interactions — the relationship between personal experience and broader social forces."
,,Emory College of Arts and Sciences — Natural Sciences & Mathematics,Applied Mathematics (BS),9.20%,"Mathematical methods applied across science, engineering, business, and computer science — preparation for engineering, technology, finance, or applied mathematics graduate study."
,,,"Applied Mathematics and Statistics (BS, Joint Major)",8.60%,"Statistical analysis combined with quantitative research methods — preparation for data-oriented careers, statistics or actuarial graduate school."
,,,Biology (BA/BS),8.80%,Fundamental biological concepts applied in the laboratory and field — foundational for pre-medical and other pre-health curricula.
,,,Biophysics (BS),9.30%,"Bridges biology and physics — mathematical and physical analysis of how living organisms survive, adapt, and grow from molecules to populations."
,,,Chemistry (BA/BS),9.80%,"The 'central science' at the intersection of biology, physics, geology, and environmental science — preparation for medical, dental, pharmacy, and other professional schools."
,,,Computer Science (BA/BS),7.60%,"Computing concepts, algorithm design, and general programming principles — preparation for software engineering, research, and technology careers."
,,,Data Science (BS),7.80%,"Interdisciplinary data science combined with a substantive field across natural sciences, social sciences, or humanities. Formerly Quantitative Sciences; renamed Fall 2025. 20 interdisciplinary tracks."
,,,Engineering Sciences (BS),9.40%,"Prepares students for engineering-adjacent professions (engineering management, patent law) through mathematics, chemistry, and physics. Tracks in engineering physics, materials science, or geosciences."
,,,Environmental Sciences (BA/BS),10.20%,"Ecological and social foundations of environmental issues — classroom learning, field study, internships, research, and study abroad."
,,,Mathematics (BA/BS),9.60%,Science of space and number — analytical thinking and problem-solving for liberal arts and quantitative fields.
,,,"Mathematics and Computer Science (BS, Joint Major)",7.70%,Mathematical foundations combined with algorithm analysis and computer science principles — rigorous mathematical reasoning paired with technical computing.
,,,"Mathematics and Political Science (BA, Joint Major)",9.00%,Mathematical problem-solving and analytic skills combined with systematic study of government and political behavior.
,,,Neuroscience and Behavioral Biology (BS),8.00%,"Synthesis of neuroscience and behavioral biology drawing on biology, psychology, and anthropology — evolution, animal behavior, developmental biology, systems neuroscience, and ethics."
,,,Physics (BA/BS),9.90%,"Energy, matter, and their interactions — available for physics majors and pre-engineering students, with BA and BS tracks of varying rigor."
,,,Physics and Astronomy (BA/BS),10.00%,"Physics combined with astronomy — preparation across medicine, law, graduate study, and astrophysical research."
,,,Physics for Life Sciences (BA),9.70%,Physics designed for life-sciences and medical-profession students — core physical principles in a biological context.
,,,"Public Policy Analysis (BS, Joint Major)",9.00%,"Data science rigor combined with public policy emphasis — co-offered by Data and Decision Sciences and Political Science. Preparation for quantitatively demanding government, education, or nonprofit careers."
,,Emory College — Engineering Dual Degree & Medical Imaging,"Engineering (BS/BA + BSE, Georgia Tech Dual Degree)",8.50%,Five-to-six-year dual-degree program awarding both an Emory BA or BS and a Bachelor of Science in Engineering from Georgia Tech — full liberal arts education combined with professional engineering training.
,,,Medical Imaging (BMSc),9.20%,"Bachelor of Medical Science preparing students for advanced practice, management, and educational roles in medical imaging (CT, MRI) — clinical specialization, equipment application specialist roles, or imaging management."
,,Oxford College of Emory University,"Two-Year Liberal Arts (AA, into Emory College / Goizueta / Nursing)",13.00%,"Two-year liberal arts program on Emory's original Oxford, GA campus — Discovery Seminars, community-engaged learning, global learning, student research, applied arts, and internships. Students complete General Education Requirements and pre-major coursework, then transfer to Atlanta as juniors to complete a full major through Emory College, Goizueta, or Nursing."
,,Goizueta Business School — BBA,BBA — Accounting,8.80%,"Functional area depth: financial reporting, the legal environment, taxation, ethics, and international accounting standards. Strong preparation for public accounting, corporate finance, consulting, and investment banking; pairs with the BBA/MPA dual degree for CPA requirements."
,,,BBA — Finance,7.80%,"Functional area depth: analytical training for corporate finance, investment banking, portfolio management, venture capital, private equity, and commercial lending. 4+1 BBA/Master of Finance accelerated dual degree available."
,,,BBA — Information Systems and Operations Management (ISOM),8.20%,"Functional area depth combining technology management and operational systems thinking — consulting, analytics, supply chain management, and technology strategy."
,,,BBA — Marketing,8.80%,"Functional area depth in analyzing customers and markets, creating marketing strategies, and implementing programs — popular for general management, media, entertainment, and consulting careers as well as marketing."
,,,BBA — Strategy and Management Consulting,8.00%,"Functional area depth (Organization & Management) — economics, political science, psychology, and sociology applied to organizational behavior. Preparation for management consulting, strategy, and organizational leadership."
,,,BBA — AI for Business,7.50%,"Interdisciplinary depth at the intersection of artificial intelligence and business strategy — AI for financial modeling, agent-based systems, and responsible AI deployment."
,,,BBA — Business Analytics,7.60%,"Interdisciplinary depth in development and application of analytics tools — coding, A/B testing, regression, machine learning, and AI. 4+1 BBA/MSBA dual degree available."
,,,BBA — Business and Society,8.90%,Interdisciplinary depth integrating economic performance with social and corporate values — ethical decision-making in complex business environments.
,,,BBA — Consulting,7.80%,"Interdisciplinary depth in client consulting across industries and functions — project management, communications, problem structuring, hypothesis development, and data storytelling."
,,,BBA — Entrepreneurship,8.70%,"Interdisciplinary depth in launching new ventures — ideation, customer discovery, financial modeling, and venture capital, with access to the Roberto C. Goizueta Center for Entrepreneurship and Innovation."
,,,BBA — International Business,8.50%,"Interdisciplinary depth in global commerce — global strategies, international financial reporting, global trade and finance, and cross-border marketing. Study abroad at 45 Goizueta partner schools."
,,,BBA — Real Estate,8.60%,"Interdisciplinary depth in real estate — market factors, properties as an asset class, development, REITs, and capital markets. Leverages Atlanta's real estate market for access and networking."
,,,BBA — Arts Management Concentration,9.20%,"Collaborative concentration with Emory College Art History, Music, and Theater and Dance — administrative and management careers in the performing arts."
,,,BBA — Environment and Sustainability Management Concentration,9.00%,"Collaborative concentration with Emory College environmental science majors — history, politics, and practice of environmental management with business skills in strategy, marketing, finance, and operations."
,,,BBA — Film and Media Management Concentration,8.80%,Collaborative concentration with Emory College Film and Media majors — historical and contemporary context plus business infrastructure of content creation and distribution.
,,,BBA — Health Innovation Concentration,8.40%,"Collaborative concentration with Emory College's Center for the Study of Human Health — personalized medicine, global health applications, nutrition, and health policy."
,,Nell Hodgson Woodruff School of Nursing,Bachelor of Science in Nursing (BSN),10.50%,"Rigorous clinical and classroom preparation for professional registered nursing — practice in clinical and classroom settings with domestic and international service-learning. Graduates qualify for the NCLEX-RN and pursue careers in acute care, community health, global health, clinical research, and health policy. Center for Data Science access to AI/ML and 2.7 billion de-identified health records; Lillian Carter Center connects students to global service-learning partnerships."
