University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,,"Gender, Sexuality, and Feminist Studies",5.70%,"Interdisciplinary study of gender, sexuality, and their intersections with race, class, and power."
,,,German,6.00%,"Study of German language, literature, and the cultural and intellectual history of the German-speaking world."
,,,Global Cultural Studies,5.40%,"Interdisciplinary study of global cultures, theory, and transnational connections (formerly Global Culture and Theory)."
,,,Global Health (second major only),4.60%,"Co-major offered only as a second major, examining health from comparative, cultural, and policy perspectives."
,,,History,5.20%,"Study of the human past across periods, regions, and themes."
,,,Interdepartmental Major in Linguistics and Computer Science,4.00%,Combined major integrating linguistic theory with computational and NLP methods.
,,,Interdepartmental Major in Math and Computer Science on Data Science,3.70%,Combined major covering the mathematical and computational foundations of data science.
,,,Interdepartmental Major in Statistics and Computer Science on Data Science,3.60%,Combined major covering the statistical and computational foundations of data science.
,,,Interdepartmental Major (self-designed),4.90%,Faculty-approved cross-departmental major (BA or BS) that combines two or more departments in a coherent program of study.
,,,International Comparative Studies,4.90%,"Interdisciplinary major in transnational and comparative analysis of cultures, politics, and societies."
,,,Italian & European Studies,5.90%,Study of Italian language and literature within the broader context of European cultures and history.
,,,Linguistics,5.00%,"Scientific study of language structure, meaning, sound, and acquisition."
,,,Marine Science & Conservation,4.90%,"Major combining marine science, ecology, and conservation, with options at the Duke Marine Lab."
,,,Mathematics,4.10%,"Pure and applied mathematics including analysis, algebra, geometry, and numerical methods."
,,,Medieval & Renaissance Studies,6.10%,"Interdisciplinary study of European cultures, texts, and arts from the medieval through the Renaissance periods."
,,,Music,5.40%,"Study of music history, theory, ethnomusicology, composition, and performance."
,,,Neuroscience,3.80%,"Major spanning molecular, cellular, systems, and cognitive neuroscience."
,,,Philosophy,5.30%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the history of philosophy."
,,,Physics,4.40%,"Rigorous study of classical mechanics, electromagnetism, quantum mechanics, statistical mechanics, and contemporary physics."
,,,Political Science,4.20%,"Study of political institutions, behavior, theory, and international relations."
,,,Program II (self-designed),4.80%,Signature Duke option for students to design their own interdisciplinary major (BA or BS) outside the standard departmental structure.
,,,Psychology,4.10%,"Scientific study of mind and behavior across cognitive, developmental, social, clinical, and biological psychology."
,,,Public Policy Studies,4.20%,Interdisciplinary major in policy analysis offered through the Sanford School of Public Policy.
,,,Religious Studies,5.80%,"Comparative and historical study of religious traditions, texts, and practices."
,,,Romance Studies,5.70%,"Comparative study of the Romance languages and literatures, including French, Italian, Portuguese, and Spanish."
,,,Russian,5.90%,"Study of Russian language, literature, and culture."
,,,Slavic & Eurasian Studies,5.90%,"Interdisciplinary study of the languages, cultures, and societies of the Slavic and Eurasian world."
,,,Sociology,5.20%,"Study of social structure, inequality, institutions, and change."
,,,"Spanish, Latin American & Latino/a Studies",5.50%,"Study of Spanish language and the literatures and cultures of Spain, Latin America, and U.S. Latino/a communities."
,,,Statistical Science,3.90%,"Theory and practice of statistical inference, probability, and data analysis with applications across disciplines."
,,,Theater Studies,5.60%,"Study of theater as text and performance, including dramatic literature, history, acting, directing, and design."
,,,Visual Arts,5.30%,"Studio major in painting, drawing, sculpture, photography, printmaking, video, and digital media."
,,,Visual & Media Studies,5.10%,"Critical and creative study of visual culture, media, and digital practice."
,,,Visual & Media Studies: Cinematic Arts,5.00%,Visual & Media Studies track focused on cinema and moving-image production and theory.
,,Edmund T. Pratt Jr. School of Engineering,Biomedical Engineering,3.70%,Application of engineering principles to medicine and biology; Pratt's BME program is one of the oldest and largest in the country.
,,,Civil Engineering,4.50%,"Design and analysis of infrastructure systems including structures, transportation, geotechnical engineering, and sustainability."
,,,Electrical and Computer Engineering,3.90%,"Study of circuits, signals, communications, control, electromagnetics, semiconductor devices, and computer engineering."
,,,Environmental Engineering,4.40%,"Engineering for clean water, air, soil, and sustainable infrastructure, with strong ties to the Nicholas School."
,,,Interdisciplinary Engineering & Applied Science (IDEAS),4.30%,"Customizable Pratt major allowing students to combine engineering with a self-defined focus area across science, business, or the humanities."
,,,Mechanical Engineering,4.00%,"Study of mechanics, thermodynamics, fluids, materials, design, robotics, and manufacturing."
