University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
,,,Ancient Mediterranean Civilizations (B.A.),9.80%,"Interdisciplinary study of the ancient Greek, Roman, Near Eastern, and Egyptian worlds through archaeology, history, literature, and religious texts."
,,,Medieval and Early Modern Studies (B.A.),9.90%,"Interdisciplinary examination of European and world history, culture, literature, religion, art, and philosophy from roughly 500–1700 CE."
,,,Classical Studies (B.A.),9.70%,"Ancient Greek and Roman worlds through language (Greek and/or Latin), literature, history, philosophy, and material culture."
,,,European Studies (B.A.),9.60%,"Interdisciplinary major on modern Europe's history, politics, literature, culture, and languages from national and transnational perspectives."
,,School of Social Sciences,Anthropology (B.A.),8.90%,"Social/cultural anthropology and archaeology. Social/cultural focuses on elites, gender, art, science, and medicine; archaeology explores human prehistory through material evidence and excavation, with notable fieldwork in Africa."
,,,Cognitive Sciences (B.A.),7.20%,"Interdisciplinary major studying perception, learning, memory, language, concept formation, decision-making, and consciousness across biological, psychological, linguistic, and philosophical perspectives. Specializations: Computation, Linguistics, Neuroscience, Philosophy, Psychology."
,,,Economics (B.A.),6.30%,"Microeconomics, macroeconomics, and econometrics applied to economic phenomena and public policy."
,,,Global Affairs (B.A.),7.00%,"Interdepartmental program in global systems and organizations drawing on 13 academic departments. Emphasizes global competence, cross-cultural understanding via language study, and applied learning with practitioners. Overseen by Political Science with the School of Humanities and Arts."
,,,Linguistics (B.A.),8.60%,"Structure, history, and social use of language — cognitive/functional linguistics, phonetics, phonology, syntax, semantics, sociolinguistics, discourse analysis, and typology. Field studies in American Indian, Australian, Austronesian, and African languages."
,,,Managerial Economics and Organizational Sciences (B.A.),5.90%,"MEOS combines economics, political science, and psychology to prepare students for organizational and business environments without a fully professional business degree."
,,,Mathematical Economic Analysis (B.A.),5.70%,"MTEC — mathematically intensive program bridging Economics and Mathematics, recommended for graduate work in economics or analytical careers in business or government."
,,,Political Science (B.A.),7.00%,"American politics, comparative politics, and international relations — political institutions, behavior, and public policy."
,,,Psychological Sciences (B.A.),6.80%,"Social, cognitive, and affective neuroscience; health psychology; human factors and human-computer interaction; and industrial-organizational psychology."
,,,Social Policy Analysis (B.A.),7.80%,"Analysis of policy designed to improve human well-being. Students learn evidence-based policy design, quantitative evaluation, and communication, drawing on economics and political science."
,,,Sociology (B.A.),8.70%,"How people interact in groups and societies — race and ethnic stratification, gender, religion, health disparities, and demographic change (migration, population shifts)."
,,,Sport Analytics (B.A.),6.70%,"Quantitative and statistical analysis applied to performance, business, and operations in the sport industry. Jointly managed by the D2K Lab, Sport Management, and Statistics."
,,,Sport Management (B.A.),7.20%,"Interdisciplinary major in business, management, law, and communication for the sport industry. Concentrations: Sport Law; Sport Leadership. Houston internships with professional teams (Astros, Texans, Rockets, Dynamo)."
,,Shepherd School of Music,Music (B.A.),8.80%,"Liberal-arts music degree covering music history, theory, performance, and composition alongside a broad Rice education, without the full professional conservatory requirements of the B.Mus."
,,,Music History (B.Mus.),15.00%,"Comprehensive grounding in the history and musicology of Western and world music traditions, with training in historical research and scholarly writing."
,,,Music Theory (B.Mus.),15.00%,"Analytical, compositional, and cognitive dimensions of music theory — counterpoint, harmony, form, 20th-century techniques, and computational/mathematical approaches."
,,,Composition (B.Mus.),13.50%,"Craft and artistry of composition across styles and media, with instruction in orchestration, electronic music, and new music practices."
,,,Orchestral Conducting (B.Mus.),12.00%,"Technical and interpretive skills of conducting orchestral and ensemble repertoire — score study, gesture, rehearsal technique, and musicianship."
,,,Organ Performance (B.Mus.),16.00%,"Solo and accompanying organ repertoire from Baroque to contemporary, with technique, registration, and improvisation."
,,,Piano Performance (B.Mus.),11.00%,"Conservatory training in solo piano repertoire, technique, and musicianship with chamber music and collaborative piano opportunities."
,,,Violin Performance (B.Mus.),10.50%,"Conservatory study of violin repertoire and technique from Baroque to contemporary, with orchestral and chamber participation."
,,,Viola Performance (B.Mus.),13.50%,"Viola repertoire, technique, and orchestral/chamber performance with attention to the viola's distinctive solo and ensemble literature."
,,,Cello Performance (B.Mus.),11.50%,"Cello technique and the full span of cello repertoire, including chamber music and orchestral playing."
,,,Double Bass Performance (B.Mus.),14.50%,"Solo, orchestral, and chamber music repertoire for double bass across styles."
,,,Flute Performance (B.Mus.),11.00%,"Solo flute repertoire from Baroque to contemporary, with chamber and orchestral experience."
,,,Oboe Performance (B.Mus.),14.50%,"Oboe repertoire, reed-making, and orchestral and chamber playing."
,,,Clarinet Performance (B.Mus.),13.00%,"Clarinet technique and repertoire across historical periods — orchestral, chamber, and solo."
,,,Bassoon Performance (B.Mus.),15.50%,"Bassoon technique, reed-making, and bassoon repertoire in solo, chamber, and orchestral contexts."
,,,Horn Performance (B.Mus.),13.50%,"French horn technique and orchestral, chamber, and solo repertoire."
,,,Trumpet Performance (B.Mus.),12.50%,"Trumpet performance from Baroque to contemporary, including orchestral playing."
,,,Trombone Performance (B.Mus.),14.00%,"Trombone technique and repertoire in solo, jazz-influenced, orchestral, and chamber contexts."
,,,Tuba Performance (B.Mus.),16.00%,"Tuba technique and expanding solo and ensemble repertoire, including orchestral excerpts."
,,,Harp Performance (B.Mus.),15.50%,"Harp technique and solo, orchestral, and chamber repertoire for pedal and lever harp."
,,,Percussion Performance (B.Mus.),12.50%,"Mallet instruments, timpani, snare drum, and world percussion across solo and ensemble repertoire."
,,,Vocal Performance (B.Mus.),12.00%,"Operatic and art-song singing — vocal technique, diction (Italian, German, French, English), music theory, and acting for singers. Supported by Brockman Hall for Opera."
,,School of Architecture,Architecture (B.Arch.),6.00%,Five-year NAAB-accredited professional program educating architects for practice and leadership. Graduates qualify to sit for state licensing exams after the required post-graduation internship. Includes the signature Rice Preceptorship.
,,,Architectural Studies (B.A.),7.20%,"Four-year liberal-arts degree in architectural history, theory, design, and culture without full professional accreditation. Flexible for students interested in architecture's relationship to urbanism, history, culture, and allied disciplines."
,,Virani Undergraduate School of Business,Business (B.A.),5.80%,"Foundational undergraduate business degree covering leadership and core business fundamentals — finance, economics, accounting, marketing, and communications. Optional concentrations in Finance, Management, and Marketing."
